round,time-of-day,contacts,infections,healed,duration(ms)
0,0,2127707,5,0,347
1,1,1711755,2,0,392
2,2,1387981,2,0,401
3,3,1138123,3,0,379
4,4,952551,7,0,384
5,5,821631,2,0,346
6,6,733795,3,0,327
7,7,682574,2,0,317
8,8,667012,7,0,315
9,9,682579,11,0,325
10,10,733500,10,0,329
11,11,821223,8,0,349
12,12,955399,12,0,367
13,13,1141187,23,0,391
14,14,1392076,46,0,415
15,15,1716817,39,0,440
16,16,2137382,55,0,468
17,17,2665063,137,0,487
18,18,2667585,79,0,486
19,19,2668335,74,0,487
20,20,2671203,95,0,484
21,21,2672137,149,0,484
22,22,2672999,174,0,486
23,23,2675178,143,0,485
24,24,2677960,127,0,492
25,25,2680272,175,0,485
26,26,2682246,146,0,488
27,27,2684851,149,0,487
28,28,2688520,178,0,486
29,29,2690398,191,0,489
30,0,2158289,188,1,468
31,1,1738293,152,0,438
32,2,1410277,102,0,413
33,3,1157319,103,0,390
34,4,970035,66,0,365
35,5,835721,79,0,342
36,6,747057,69,0,323
37,7,695511,77,0,318
38,8,679928,73,0,316
39,9,696419,74,0,318
40,10,748452,90,0,327
41,11,838783,98,0,342
42,12,974739,144,0,362
43,13,1165093,166,0,384
44,14,1420115,181,0,411
45,15,1749979,249,0,441
46,16,2180096,355,0,475
47,17,2719040,509,0,489
48,18,2721404,430,0,494
49,19,2725701,311,0,511
50,20,2725939,329,0,482
51,21,2728121,357,0,486
52,22,2730912,423,0,493
53,23,2733402,481,0,488
54,24,2735081,463,0,486
55,25,2736294,518,0,483
56,26,2737260,588,0,491
57,27,2740487,500,0,491
58,28,2742136,542,0,491
59,29,2743590,545,0,523
60,0,2203573,424,3,411
61,1,1774530,364,3,369
62,2,1440107,273,1,341
63,3,1182885,296,5,331
64,4,990554,236,3,312
65,5,854584,204,6,320
66,6,763346,169,0,310
67,7,710277,157,4,289
68,8,693526,160,7,308
69,9,710199,180,9,277
70,10,763476,232,10,282
71,11,854781,247,7,287
72,12,991986,309,14,294
73,13,1184383,330,16,315
74,14,1441583,434,45,330
75,15,1774939,592,31,347
76,16,2209339,746,62,368
77,17,2755225,956,110,365
78,18,2754347,654,70,361
79,19,2755220,733,102,365
80,20,2755311,768,82,363
81,21,2756609,787,133,365
82,22,2757755,823,175,362
83,23,2760749,890,128,361
84,24,2760060,987,136,364
85,25,2761293,890,153,395
86,26,2761648,893,157,365
87,27,2761991,926,136,365
88,28,2762339,959,201,360
89,29,2760718,975,162,361
90,0,2213128,827,205,358
91,1,1781189,670,162,348
92,2,1444101,487,110,329
93,3,1185349,413,115,316
94,4,990447,344,70,298
95,5,853122,274,86,278
96,6,762170,305,67,267
97,7,708946,278,68,260
98,8,692774,273,75,263
99,9,709621,337,86,258
100,10,762544,332,77,270
101,11,852986,425,85,294
102,12,991454,518,152,293
103,13,1184413,672,164,309
104,14,1444135,774,154,324
105,15,1779153,987,257,337
106,16,2215502,1299,305,350
107,17,2761986,1818,511,359
108,18,2761664,1410,377,359
109,19,2761601,1403,338,360
110,20,2762070,1266,349,361
111,21,2762644,1331,292,365
112,22,2763174,1509,487,362
113,23,2762825,1344,399,365
114,24,2762997,1442,479,361
115,25,2763591,1380,534,362
116,26,2763596,1518,538,377
117,27,2761955,1445,517,377
118,28,2761658,1478,534,368
119,29,2760437,1513,513,377
120,0,2213735,1251,512,366
121,1,1779661,898,368,345
122,2,1442823,773,301,346
123,3,1184477,673,295,317
124,4,989260,572,267,302
125,5,851039,490,202,285
126,6,761054,503,195,277
127,7,707577,444,159,266
128,8,692285,414,150,263
129,9,708430,475,177,264
130,10,762162,566,215,283
131,11,853206,676,250,286
132,12,992424,800,299,317
133,13,1185773,963,319,322
134,14,1444002,1162,377,330
135,15,1778930,1614,590,347
136,16,2214972,1966,637,360
137,17,2761300,2551,913,369
138,18,2761620,1967,684,376
139,19,2760947,2010,751,365
140,20,2760684,1984,736,361
141,21,2760638,2006,722,360
142,22,2759618,2211,813,360
143,23,2760928,2261,885,362
144,24,2761180,2249,952,370
145,25,2760756,2293,891,378
146,26,2760236,2409,916,377
147,27,2759260,2325,925,386
148,28,2759171,2236,859,392
149,29,2758446,2383,1028,394
